,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,98.71609210968018,5.732139825820923,1.59459388256073,0.2541912794113159,rbf,0.0001,7,100,"{'kernel': 'rbf', 'gamma': 0.0001, 'degree': 7, 'C': 100}",0.5737350127689045,0.5968488940830196,0.585291953425962,0.011556940657057535,7
1,28.80893337726593,2.5571166276931763,1.314310073852539,0.02240157127380371,poly,0.001,6,1,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.48136605635631735,0.5186339436436826,0.5,0.01863394364368265,19
2,113.92357206344604,2.314081907272339,1.2257802486419678,0.16194939613342285,linear,0.001,2,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 2, 'C': 1}",0.5715275072501407,0.5997056659308315,0.5856165865904861,0.014089079340345423,4
3,83.0399659872055,1.1276880502700806,2.0530039072036743,0.3096102476119995,rbf,1e-05,5,100,"{'kernel': 'rbf', 'gamma': 1e-05, 'degree': 5, 'C': 100}",0.5693200017313769,0.6168030125957668,0.5930615071635719,0.023741505432194943,2
4,28.50952124595642,3.0652644634246826,0.889809250831604,0.3309823274612427,poly,0.0001,3,10,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 3, 'C': 10}",0.5568108037917153,0.35960697744881615,0.4582088906202657,0.09860191317144959,25
5,121.78121590614319,2.845855474472046,1.298255205154419,0.9371557235717773,linear,1e-05,4,10,"{'kernel': 'linear', 'gamma': 1e-05, 'degree': 4, 'C': 10}",0.5643855776306107,0.5990996840237198,0.5817426308271653,0.01735705319655456,13
6,36.29238164424896,0.2467128038406372,1.4016356468200684,0.6935009956359863,poly,0.001,9,1,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 9, 'C': 1}",0.48136605635631735,0.5186339436436826,0.5,0.01863394364368265,19
7,126.7786363363266,2.3018041849136353,0.5356014966964722,0.029978156089782715,linear,0.0001,2,100,"{'kernel': 'linear', 'gamma': 0.0001, 'degree': 2, 'C': 100}",0.570358827857854,0.5923473142016188,0.5813530710297363,0.010994243171882412,14
8,119.40216636657715,0.6595058441162109,1.1411128044128418,0.16681885719299316,linear,0.001,6,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5677184781197248,0.598796693070164,0.5832575855949444,0.015539107475219638,11
9,118.06286978721619,0.6176598072052002,1.9708138704299927,0.36026108264923096,linear,0.001,5,10,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 5, 'C': 10}",0.5678916158074709,0.5903995152144743,0.5791455655109726,0.011253949703501687,15
10,103.86042594909668,0.7486968040466309,1.5856103897094727,0.025664329528808594,rbf,0.001,7,10,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 7, 'C': 10}",0.5735618750811583,0.5999220880405142,0.5867419815608362,0.013180106479677933,3
11,110.0259541273117,3.2648340463638306,1.7524921894073486,0.40068769454956055,rbf,0.01,7,10,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 7, 'C': 10}",0.5649482751157858,0.5879755875860277,0.5764619313509067,0.011513656235120961,16
12,96.36656534671783,0.44635069370269775,1.9178102016448975,0.06740355491638184,rbf,0.01,9,1,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 9, 'C': 1}",0.5714842228282041,0.596805609661083,0.5841449162446435,0.012660693416439439,9
13,124.46294724941254,2.4711183309555054,0.5394867658615112,0.04487955570220947,linear,0.001,1,100,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 1, 'C': 100}",0.571873782625633,0.5982772800069255,0.5850755313162792,0.01320174869064622,8
14,32.21230936050415,0.2943410873413086,1.0224355459213257,0.10963356494903564,poly,1e-05,9,10,"{'kernel': 'poly', 'gamma': 1e-05, 'degree': 9, 'C': 10}",0.48136605635631735,0.5186339436436826,0.5,0.01863394364368265,19
15,87.98147392272949,6.805572748184204,1.2297297716140747,0.11314690113067627,rbf,0.001,6,1,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5762887936631607,0.618404536207419,0.5973466649352899,0.02105787127212916,1
16,84.93998837471008,0.7254953384399414,1.6689921617507935,0.04500472545623779,poly,0.01,3,1,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.5186339436436826,0.5186339436436826,0.5186339436436826,0.0,18
17,94.2984129190445,1.0655475854873657,0.5479865074157715,0.010274887084960938,rbf,0.001,4,100,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 4, 'C': 100}",0.5715275072501407,0.5994026749772757,0.5854650911137083,0.013937583863567526,6
18,30.80911934375763,0.1904689073562622,2.0845507383346558,0.9683250188827515,poly,0.0001,8,1,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 8, 'C': 1}",0.48136605635631735,0.5186339436436826,0.5,0.01863394364368265,19
19,90.39743149280548,2.496561646461487,0.4253464937210083,0.08467566967010498,linear,0.01,1,10,"{'kernel': 'linear', 'gamma': 0.01, 'degree': 1, 'C': 10}",0.571873782625633,0.593472709171969,0.5826732458988011,0.010799463273167997,12
20,32.26291275024414,0.7229938507080078,1.0575836896896362,0.16035830974578857,poly,0.0001,9,10,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 9, 'C': 10}",0.48136605635631735,0.5186339436436826,0.5,0.01863394364368265,19
