,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,101.04608738422394,4.5500746965408325,3.1490232944488525,0.6460201740264893,rbf,0.0001,7,100,"{'kernel': 'rbf', 'gamma': 0.0001, 'degree': 7, 'C': 100}",0.5475912219192313,0.5894905423538068,0.568540882136519,0.02094966021728778,5
1,79.17323291301727,3.569969058036804,6.335551619529724,0.44002091884613037,poly,0.001,6,1,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.4975977145825218,0.511838289399645,0.5047180019910834,0.007120287408561632,23
2,190.54186129570007,1.8464272022247314,1.1660736799240112,0.062169671058654785,linear,0.001,2,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 2, 'C': 1}",0.5480673505605332,0.582911310219452,0.5654893303899926,0.017421979829459366,14
3,92.81698656082153,3.8561737537384033,3.6608113050460815,0.16950809955596924,rbf,1e-05,5,100,"{'kernel': 'rbf', 'gamma': 1e-05, 'degree': 5, 'C': 100}",0.546292689261135,0.5755096740683028,0.5609011816647189,0.014608492403583917,16
4,133.73830807209015,0.9530028104782104,10.731905341148376,0.6242419481277466,poly,0.0001,3,10,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 3, 'C': 10}",0.5186339436436826,0.5186339436436826,0.5186339436436826,0.0,19
5,275.33371758461,2.340299129486084,0.3353389501571655,0.050606369972229004,linear,1e-05,4,10,"{'kernel': 'linear', 'gamma': 1e-05, 'degree': 4, 'C': 10}",0.54923602995282,0.5856815132233909,0.5674587715881054,0.018222741635285478,10
6,54.43032717704773,1.668635606765747,6.30736243724823,0.27543890476226807,poly,0.001,9,1,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 9, 'C': 1}",0.49673202614379086,0.4892871055707051,0.493009565857248,0.0037224602865428835,24
7,989.7656812667847,8.042289972305298,0.214455246925354,0.0037049055099487305,linear,0.0001,2,100,"{'kernel': 'linear', 'gamma': 0.0001, 'degree': 2, 'C': 100}",0.5496688741721855,0.5855083755356447,0.567588624853915,0.01791975068172963,9
8,190.41858434677124,0.1856987476348877,0.9677126407623291,0.15134644508361816,linear,0.001,6,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5476777907631044,0.5861576418646929,0.5669177163138986,0.019239925550794235,11
9,275.96396481990814,0.4462965726852417,0.32091593742370605,0.013812541961669922,linear,0.001,5,10,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 5, 'C': 10}",0.5499718651257413,0.5856815132233909,0.567826689174566,0.017854824048824824,6
10,106.41048467159271,3.3905895948410034,3.268324613571167,0.012327194213867188,rbf,0.001,7,10,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 7, 'C': 10}",0.5552958490239362,0.5901830931047916,0.5727394710643638,0.017443622040427653,4
11,126.87383806705475,2.0118855237960815,2.660388946533203,0.2056126594543457,rbf,0.01,7,10,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 7, 'C': 10}",0.5859845041769467,0.6168462970177033,0.601415400597325,0.015430896420378315,1
12,100.9880645275116,3.9786558151245117,2.6809052228927612,0.2025991678237915,rbf,0.01,9,1,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 9, 'C': 1}",0.5604466952343852,0.5988399774921006,0.579643336363243,0.019196641128857717,2
13,966.4915875196457,12.380226016044617,0.24632394313812256,0.027311205863952637,linear,0.001,1,100,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 1, 'C': 100}",0.5496688741721855,0.5825217504220231,0.5660953122971043,0.01642643812491884,13
14,52.28812110424042,0.2509573698043823,6.730459928512573,0.2696084976196289,poly,1e-05,9,10,"{'kernel': 'poly', 'gamma': 1e-05, 'degree': 9, 'C': 10}",0.5203653205211445,0.516599575812665,0.5184824481669048,0.0018828723542397285,21
15,95.7910944223404,0.2594255208969116,4.066903829574585,0.2805609703063965,rbf,0.001,6,1,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5466822490585638,0.5743409946760161,0.5605116218672899,0.013829372808726148,17
16,121.60318303108215,0.38132333755493164,4.889510154724121,0.09740066528320312,poly,0.01,3,1,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.5519196641128857,0.5742111414102065,0.563065402761546,0.011145738648660366,15
17,113.11516535282135,1.076013207435608,1.9805513620376587,0.14452135562896729,rbf,0.001,4,100,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 4, 'C': 100}",0.5650781283815954,0.5942085443448902,0.5796433363632428,0.014565207981647399,3
18,50.47611582279205,0.5392171144485474,5.553314685821533,0.3341357707977295,poly,0.0001,8,1,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 8, 'C': 1}",0.5206683114747003,0.5166428602346016,0.5186555858546509,0.002012725620049338,18
19,188.07830202579498,4.673130631446838,0.2703663110733032,0.013026595115661621,linear,0.01,1,10,"{'kernel': 'linear', 'gamma': 0.01, 'degree': 1, 'C': 10}",0.5499718651257413,0.5856815132233909,0.567826689174566,0.017854824048824824,6
20,47.57971704006195,1.0121852159500122,4.187489032745361,0.3560009002685547,poly,0.0001,9,10,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 9, 'C': 10}",0.5204951737869541,0.5161667315932996,0.5183309526901269,0.0021642210968272346,22
21,110.67699146270752,0.20056629180908203,0.6283184289932251,0.040178656578063965,linear,0.0001,6,1,"{'kernel': 'linear', 'gamma': 0.0001, 'degree': 6, 'C': 1}",0.5490628922650738,0.5865472016621218,0.5678050469635978,0.018742154698524027,8
