,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,557.2350251674652,1.9034864902496338,35.71717619895935,0.0977640151977539,rbf,0.0001,7,100,"{'kernel': 'rbf', 'gamma': 0.0001, 'degree': 7, 'C': 100}",0.5657706791325802,0.609271523178808,0.587521101155694,0.02175042202311389,14
1,1343.3699054718018,2.4560940265655518,169.77489352226257,1.2950375080108643,poly,0.001,6,1,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5186339436436826,0.5186339436436826,0.5186339436436826,0.0,22
2,6258.8701412677765,424.8901882171631,7.655925869941711,0.7248760461807251,linear,0.001,2,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 2, 'C': 1}",0.5700125524823616,0.6115655975414448,0.5907890750119031,0.020776522529541597,7
3,422.75350737571716,18.713600397109985,37.73808181285858,1.4732939004898071,rbf,1e-05,5,100,"{'kernel': 'rbf', 'gamma': 1e-05, 'degree': 5, 'C': 100}",0.5631736138163875,0.5913084880751418,0.5772410509457646,0.014067437129377136,16
4,1333.4168893098831,8.841234803199768,171.8098188638687,0.40901100635528564,poly,0.0001,3,10,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 3, 'C': 10}",0.5186339436436826,0.5186339436436826,0.5186339436436826,0.0,22
5,33854.757043242455,4253.2361842393875,4.3830296993255615,0.9895279407501221,linear,1e-05,4,10,"{'kernel': 'linear', 'gamma': 1e-05, 'degree': 4, 'C': 10}",0.5657706791325802,0.6097043673981734,0.5877375232653768,0.021966844132796592,12
6,597.6660315990448,12.9452645778656,88.95446157455444,1.2406978607177734,poly,0.001,9,1,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 9, 'C': 1}",0.5389776219538588,0.5259057265290222,0.5324416742414405,0.006535947712418277,21
7,47663.69070291519,649.1065926551819,2.04108202457428,0.8201087713241577,linear,0.0001,2,100,"{'kernel': 'linear', 'gamma': 0.0001, 'degree': 2, 'C': 100}",0.576635069038653,0.6049863654070899,0.5908107172228715,0.014175648184218459,5
8,6166.7130526304245,345.5833579301834,8.722522258758545,1.887312412261963,linear,0.001,6,1,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5658139635545167,0.6104834869930312,0.588148725273774,0.022334761719257246,11
9,33822.34533941746,4108.961372733116,4.692198157310486,1.1025632619857788,linear,0.001,5,10,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 5, 'C': 10}",0.5639960178331819,0.6084924035839502,0.586244210708566,0.022248192875384154,15
10,585.4135956764221,14.68909740447998,33.46128571033478,2.350073456764221,rbf,0.001,7,10,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 7, 'C': 10}",0.5694498549971865,0.6112193221659524,0.5903345885815694,0.020884733584382975,8
11,1551.9793893098831,46.01128709316254,25.08384907245636,0.3111032247543335,rbf,0.01,7,10,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 7, 'C': 10}",0.5850755313162793,0.668441327966065,0.6267584296411721,0.04168289832489286,2
12,681.7987587451935,2.016751527786255,34.56786000728607,1.4111891984939575,rbf,0.01,9,1,"{'kernel': 'rbf', 'gamma': 0.01, 'degree': 9, 'C': 1}",0.5820456217807212,0.6280569622992684,0.6050512920399949,0.023005670259273636,4
13,47734.553559184074,547.7371088266373,1.9924505949020386,0.2958461046218872,linear,0.001,1,100,"{'kernel': 'linear', 'gamma': 0.001, 'degree': 1, 'C': 100}",0.576635069038653,0.6049863654070899,0.5908107172228715,0.014175648184218459,5
14,560.0918656587601,9.629515290260315,93.26309490203857,1.7278413772583008,poly,1e-05,9,10,"{'kernel': 'poly', 'gamma': 1e-05, 'degree': 9, 'C': 10}",0.5417478249577977,0.5578496299181924,0.5497987274379951,0.008050902480197353,19
15,398.82076835632324,14.597254991531372,38.07274889945984,5.2758166790008545,rbf,0.001,6,1,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 6, 'C': 1}",0.5620049344241008,0.5878457343202181,0.5749253343721594,0.012920399948058658,17
16,1690.18721139431,40.266382575035095,57.611634969711304,4.551937818527222,poly,0.01,3,1,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.6029087131541359,0.6650651430550145,0.6339869281045751,0.03107821495043933,1
17,2393.4132848978043,21.044731736183167,12.310287356376648,0.07376039028167725,rbf,0.001,4,100,"{'kernel': 'rbf', 'gamma': 0.001, 'degree': 4, 'C': 100}",0.5784962991819245,0.644937886854521,0.6117170930182227,0.03322079383629828,3
18,538.6740381717682,7.357751369476318,86.07405090332031,1.8126189708709717,poly,0.0001,8,1,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 8, 'C': 1}",0.5716573605159503,0.5691901484655673,0.5704237544907588,0.0012336060251915137,18
19,33381.16008794308,4256.264666199684,3.8611433506011963,0.9607396125793457,linear,0.01,1,10,"{'kernel': 'linear', 'gamma': 0.01, 'degree': 1, 'C': 10}",0.5657706791325802,0.6094879452884907,0.5876293122105354,0.02185863307795527,13
20,553.79714012146,4.536193609237671,82.9709861278534,2.0714993476867676,poly,0.0001,9,10,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 9, 'C': 10}",0.5423970912868459,0.5556854088213652,0.5490412500541055,0.006644158767259656,20
